w,na ,neff,re(neff),imag(neff),loss,SA(1/RIU),rg(um)
1.18,1.36,1.4284321707070722-2.661383810065472E-5i,1.428432171,2.66E-05,12.56698121,-62.36980138,0.3
1.2,1.36,1.4276562012015892-2.6898176444852766E-5i,1.427656201,2.69E-05,12.48955758,-56.88664152,0.3
1.22,1.36,1.4268787591724774-2.7339024915832266E-5i,1.426878759,2.73E-05,12.48615301,-52.14759562,0.3
1.24,1.36,1.4260997456784823-2.7919265983425933E-5i,1.426099746,2.79E-05,12.54549419,-48.01003424,0.3
1.26,1.36,1.4253190817154304-2.8626223029887087E-5i,1.425319082,2.86E-05,12.65898741,-44.36603869,0.3
1.28,1.36,1.4245367047753081-2.9450446133204494E-5i,1.424536705,2.95E-05,12.81998069,-41.1324243,0.3
1.3,1.36,1.4237525660623476-3.0384867091319812E-5i,1.423752566,3.04E-05,13.02325221,-38.24400512,0.3
1.32,1.36,1.422966628209373-3.142419953095182E-5i,1.422966628,3.14E-05,13.26464877,-35.64894189,0.3
1.34,1.36,1.4221788633841672-3.256450514341129E-5i,1.422178863,3.26E-05,13.54082568,-33.3054622,0.3
1.36,1.36,1.4213892517063584-3.3802874686527864E-5i,1.421389252,3.38E-05,13.84905658,-31.17950451,0.3
1.38,1.36,1.4205977799161948-3.513718965351522E-5i,1.42059778,3.51E-05,14.18709245,-29.24299683,0.3
1.4,1.36,1.419804440250928-3.656594154399242E-5i,1.41980444,3.66E-05,14.55305556,-27.47257939,0.3
0.6,1.37,1.4519333450807974-1.366682682915366E-6i,1.451933345,1.37E-06,1.269176154,6.179996707,0.3
0.62,1.37,1.4509109380831602-2.0435737667013743E-6i,1.450910938,2.04E-06,1.836555647,18.07090989,0.3
0.64,1.37,1.4499289157375237-4.649314199114278E-6i,1.449928916,4.65E-06,4.047756558,35.38935281,0.3
0.66,1.37,1.4489876120671155-1.3964118484447289E-5i,1.448987612,1.40E-05,11.788948,36.76772788,0.3
0.68,1.37,1.4480809681590425-7.5369090442483365E-6i,1.448080968,7.54E-06,6.175751663,-140.9075218,0.3
0.7,1.37,1.4471885735684236-4.2589691294115576E-6i,1.447188574,4.26E-06,3.39009536,-64.35415336,0.3
0.72,1.37,1.4463172743453068-3.860703791762317E-6i,1.446317274,3.86E-06,2.987716931,-11.4340553,0.3
0.74,1.37,1.4454635046209174-4.374448461349687E-6i,1.445463505,4.37E-06,3.293798647,10.98707307,0.3
0.76,1.37,1.4446237846408718-5.54465427697567E-6i,1.444623785,5.54E-06,4.065054216,23.4301051,0.3
0.78,1.37,1.4437949762093656-7.535500380050305E-6i,1.443794976,7.54E-06,5.38298235,32.35497398,0.3
0.8,1.37,1.442974042546929-1.0823168754627505E-5i,1.442974043,1.08E-05,7.538239049,40.10210902,0.3
0.82,1.37,1.442157783341911-1.640969962972552E-5i,1.442157783,1.64E-05,11.15044607,47.67313195,0.3
0.84,1.37,1.4413425250672172-2.6461703563441054E-5i,1.441342525,2.65E-05,17.55270187,55.54583132,0.3
0.86,1.37,1.4405241008746135-4.598769089185919E-5i,1.440524101,4.60E-05,29.79535847,63.81514783,0.3
0.88,1.37,1.4397005414809532-8.580272879537481E-5i,1.439700541,8.58E-05,54.32802162,71.62349236,0.3
0.9,1.37,1.4388752803019027-1.580675409751379E-4i,1.43887528,0.000158068,97.86009885,76.59162263,0.3
0.92,1.37,1.4380339414005003-3.0628076636617536E-4i,1.438033941,0.000306281,185.4972007,80.81393176,0.3
0.94,1.37,1.4371836871592107-9.293090613157542E-4i,1.437183687,0.000929309,550.855615,89.43461977,0.3
0.96,1.37,1.4371509121283785-3.8144395518770603E-4i,1.437150912,0.000381444,221.3935511,54.68439391,0.3
0.98,1.37,1.4363438796746404-2.1770015528185338E-4i,1.43634388,0.0002177,123.7764793,-44.59075646,0.3
1,1.37,1.4355375080883304-1.4451968195327623E-4i,1.435537508,0.00014452,80.52532005,-302.1752062,0.3
1.02,1.37,1.4347413893751826-1.0619035803306706E-4i,1.434741389,0.00010619,58.00833174,-685.7458268,0.3
1.04,1.37,1.4339534958130231-8.392144086426777E-5i,1.433953496,8.39E-05,44.96194136,-459.6879981,0.3
1.06,1.37,1.4331711727283991-6.998703849754331E-5i,1.433171173,7.00E-05,36.78893485,-338.8199091,0.3
1.08,1.37,1.4323924158141026-6.0791777508289245E-5i,1.432392416,6.08E-05,31.36364641,-264.6463759,0.3
1.1,1.37,1.4316158199253295-5.449570560855376E-5i,1.43161582,5.45E-05,27.60419314,-215.1756051,0.3
1.12,1.37,1.4308403992773882-5.0082667554140207E-5i,1.430840399,5.01E-05,24.91580323,-180.2680414,0.3
1.14,1.37,1.4300654490877174-4.6955535907015244E-5i,1.430065449,4.70E-05,22.95024957,-154.5382301,0.3
1.16,1.37,1.4292904544053409-4.4745022315860334E-5i,1.429290454,4.47E-05,21.49276065,-134.8916585,0.3
1.18,1.37,1.4285150315684723-4.321283606363224E-5i,1.428515032,4.32E-05,20.40498243,-119.4481631,0.3
1.2,1.37,1.427738890227846-4.219964565426329E-5i,1.42773889,4.22E-05,19.59444743,-107.0125479,0.3
1.22,1.37,1.4269618081465099-4.1595669075475874E-5i,1.426961808,4.16E-05,18.99738159,-96.79521144,0.3
1.24,1.37,1.4261836140234139-4.132331514148355E-5i,1.426183614,4.13E-05,18.56859024,-88.25679489,0.3
1.26,1.37,1.4254041754601017-4.1326544213866155E-5i,1.425404175,4.13E-05,18.27527866,-81.01796156,0.3
1.28,1.37,1.4246233903046113-4.1564128595656934E-5i,1.42462339,4.16E-05,18.09314954,-75.77299892,0.3
1.3,1.37,1.4238411802698896-4.200525721867277E-5i,1.42384118,4.20E-05,18.00386545,-69.41580652,0.3
1.32,1.37,1.4230574861233583-4.262659416224187E-5i,1.423057486,4.26E-05,17.9933557,-64.69824982,0.3
1.34,1.37,1.4222722639889847-4.3410264094632196E-5i,1.422272264,4.34E-05,18.05066025,-60.53561494,0.3
1.36,1.37,1.4214854824560637-4.434244352340525E-5i,1.421485482,4.43E-05,18.1671238,-56.8369606,0.3
1.38,1.37,1.4206971202864018-4.541235691055358E-5i,1.42069712,4.54E-05,18.33582345,-53.53038288,0.3
1.4,1.37,1.41990716457493-4.661154886491873E-5i,1.419907165,4.66E-05,18.5511553,-50.5582808,0.3
0.6,1.38,1.4519337039958076-1.2822217381133672E-6i,1.451933704,1.28E-06,1.190741109,0.772879391,0.3
0.62,1.38,1.4509115426925263-1.6742813928313447E-6i,1.450911543,1.67E-06,1.504673331,13.43255031,0.3
0.64,1.38,1.449929894250917-3.0039519937614117E-6i,1.449929894,3.00E-06,2.615281709,27.07865366,0.3
0.66,1.38,1.4489820715202473-8.82982939960499E-6i,1.448982072,8.83E-06,7.454419679,47.1774374,0.3
0.68,1.38,1.448080438233822-1.815698079893854E-5i,1.448080438,1.82E-05,14.87785028,8.282676868,0.3
0.7,1.38,1.4471939789081838-6.999792654509452E-6i,1.447193979,7.00E-06,5.571762526,-168.8555835,0.3
0.72,1.38,1.446322342748822-4.302138798178952E-6i,1.446322343,4.30E-06,3.329334137,-61.95077393,0.3
0.74,1.38,1.4454690711928715-3.8938246123251605E-6i,1.445469071,3.89E-06,2.931906583,-14.63442655,0.3
0.76,1.38,1.4446306966097342-4.245535952424848E-6i,1.444630697,4.25E-06,3.112607741,6.676159939,0.3
0.78,1.38,1.443804232667641-5.097391192505204E-6i,1.443804233,5.10E-06,3.641319811,18.71187918,0.3
0.8,1.38,1.4429870748830715-6.4828498215302615E-6i,1.442987075,6.48E-06,4.515246208,27.02602593,0.3
0.82,1.38,1.4421768219801407-8.586681872823159E-6i,1.442176822,8.59E-06,5.834679204,33.76948563,0.3
0.84,1.38,1.4413711296480602-1.1763330338289892E-5i,1.44137113,1.18E-05,7.802907695,39.88861006,0.3
0.86,1.38,1.4405675513097151-1.6640577967753108E-5i,1.440567551,1.66E-05,10.78140642,45.84198481,0.3
0.88,1.38,1.439763330580359-2.434781789042354E-5i,1.439763331,2.43E-05,15.4163952,51.86143619,0.3
0.9,1.38,1.4389551164721943-3.7001046485792856E-5i,1.438955116,3.70E-05,22.90746123,58.04830517,0.3
0.92,1.38,1.4381386207720666-5.8763236834744334E-5i,1.438138621,5.88E-05,35.58961951,64.39534295,0.3
0.94,1.38,1.437308514214987-9.818503587569167E-5i,1.437308514,9.82E-05,58.19999026,70.75740605,0.3
0.96,1.38,1.4364599026749942-1.7285364018709734E-4i,1.436459903,0.000172854,100.3258295,76.76935406,0.3
0.98,1.38,1.4355924916912217-3.1477430133917446E-4i,1.435592492,0.000314774,178.9693478,81.79346554,0.3
1,1.38,1.4346817566519385-5.812223289521012E-4i,1.434681757,0.000581222,323.852872,85.62031034,0.3
1.02,1.38,1.4352497283104673-8.343863067222522E-4i,1.435249728,0.000834386,455.7980458,85.06234334,0.3
1.04,1.38,1.4343260997741725-4.696982323267576E-4i,1.4343261,0.000469698,251.6465895,59.56850243,0.3
1.06,1.38,1.4334762765851632-3.071170587113546E-4i,1.433476277,0.000307117,161.4371705,4.145442436,0.3
1.08,1.38,1.432651473175689-2.2167501353938007E-4i,1.432651473,0.000221675,114.3664,-106.7162134,0.3
1.1,1.38,1.431842372018105-1.7175716988880547E-4i,1.431842372,0.000171757,87.00168277,-300.3274615,0.3
1.12,1.38,1.4310436919150247-1.4036571145835763E-4i,1.431043692,0.000140366,69.83103373,-517.900576,0.3
1.14,1.38,1.4302519191589727-1.1951979004083758E-4i,1.430251919,0.00011952,58.41715907,-426.0910512,0.3
1.16,1.38,1.429464681879211-1.0510232500656415E-4i,1.429464682,0.000105102,50.48470194,-352.0974952,0.3
1.18,1.38,1.4286803592530368-9.482977496307675E-5i,1.428680359,9.48E-05,44.77835913,-296.2848915,0.3
1.2,1.38,1.4278978242390457-8.7358561693205E-5i,1.427897824,8.74E-05,40.56296487,-254.0412637,0.3
1.22,1.38,1.4271162781902176-8.185828490758463E-5i,1.427116278,8.19E-05,37.38593726,-221.5035838,0.3
1.24,1.38,1.4263351450770416-7.779394862655715E-5i,1.426335145,7.78E-05,34.95663284,-195.9443781,0.3
1.26,1.38,1.4255540031660459-7.480846791831135E-5i,1.425554003,7.48E-05,33.0815369,-175.4849185,0.3
1.28,1.38,1.424516777486641-7.305851530839202E-5i,1.424516777,7.31E-05,31.80287154,-157.3978452,0.3
1.3,1.38,1.4239905228063274-7.116354529942746E-5i,1.423990523,7.12E-05,30.50139386,-145.043583,0.3
1.32,1.38,1.4232077767188986-7.020525454168048E-5i,1.423207777,7.02E-05,29.63474193,-133.4905445,0.3
1.34,1.38,1.4224241713884456-6.968893441237808E-5i,1.422424171,6.97E-05,28.97773844,-123.6865687,0.3
1.36,1.38,1.4216396100664273-6.954534067932728E-5i,1.42163961,6.95E-05,28.49276479,-115.277611,0.3
1.38,1.38,1.4208540221593366-6.972176544106946E-5i,1.420854022,6.97E-05,28.15105994,-107.9968336,0.3
1.4,1.38,1.4200673576254743-7.017754662583959E-5i,1.420067358,7.02E-05,27.93030049,-101.6399958,0.3
0.6,1.39,1.451934050199855-1.2723117105572797E-6i,1.45193405,1.27E-06,1.181538117,-6.276309296,0.3
0.62,1.39,1.4509121079832923-1.449382702363288E-6i,1.450912108,1.45E-06,1.302557329,8.84954975,0.3
0.64,1.39,1.4499309178350275-2.1905222371731794E-6i,1.449930918,2.19E-06,1.907098633,20.31391,0.3
0.66,1.39,1.448983234453733-4.664142162055464E-6i,1.448983234,4.66E-06,3.937615501,36.63070985,0.3
0.68,1.39,1.4480653697966672-1.6653096750447655E-5i,1.44806537,1.67E-05,13.64556602,56.22619178,0.3
0.7,1.39,1.447198779839157-1.8819333386189E-5i,1.44719878,1.88E-05,14.97999465,-51.74218156,0.3
0.72,1.39,1.446328891818661-6.967347079398419E-6i,1.446328892,6.97E-06,5.391882401,-177.4902001,0.3
0.74,1.39,1.4454749397387228-4.4636635152749766E-6i,1.44547494,4.46E-06,3.360974299,-65.75832491,0.3
0.76,1.39,1.444636875018606-3.962097181992674E-6i,1.444636875,3.96E-06,2.904805069,-20.48830157,0.3
0.78,1.39,1.4438114895110103-4.143573510985863E-6i,1.44381149,4.14E-06,2.959960447,0.905879314,0.3
0.8,1.39,1.442996191898526-4.730793147557426E-6i,1.442996192,4.73E-06,3.294954597,13.12669622,0.3
0.82,1.39,1.4421887851556914-5.687003571397005E-6i,1.442188785,5.69E-06,3.864338048,21.31364559,0.3
0.84,1.39,1.4413873143979685-7.071101369068369E-6i,1.441387314,7.07E-06,4.690436271,27.58049274,0.3
0.86,1.39,1.4405899706231784-9.012206743690668E-6i,1.440589971,9.01E-06,5.838995725,32.90115014,0.3
0.88,1.39,1.439795011097171-1.1720689851944059E-5i,1.439795011,1.17E-05,7.421231243,37.76325559,0.3
0.9,1.39,1.4390006779399336-1.5522566106221916E-5i,1.439000678,1.55E-05,9.610068229,42.42544435,0.3
0.92,1.39,1.4382051024221607-2.0922448946966704E-5i,1.438205102,2.09E-05,12.67156197,47.02767807,0.3
0.94,1.39,1.4374061821332846-2.8711851359537817E-5i,1.437406182,2.87E-05,17.01918683,51.64089797,0.3
0.96,1.39,1.4366014146312012-4.0155017141821394E-5i,1.436601415,4.02E-05,23.30633824,56.28913448,0.3
0.98,1.39,1.4357876646942807-5.730949163403767E-5i,1.435787665,5.73E-05,32.58411597,60.95801191,0.3
1,1.39,1.4349608289801605-8.35779671431915E-5i,1.434960829,8.36E-05,46.56903795,65.59643977,0.3
1.02,1.39,1.4341153187591555-1.2463776168545592E-4i,1.434115319,0.000124638,68.08554713,70.11604381,0.3
1.04,1.39,1.4332430984221285-1.899060293935234E-4i,1.433243098,0.000189906,101.7444847,74.39201017,0.3
1.06,1.39,1.4323312570714466-2.9438569783070515E-4i,1.432331257,0.000294386,154.7448855,78.26234145,0.3
1.08,1.39,1.431354676070204-4.5823819406676605E-4i,1.431354676,0.000458238,236.4138915,81.48571666,0.3
1.1,1.39,1.43026159561697-6.875911181694721E-4i,1.430261596,0.000687591,348.2916281,83.53078274,0.3
1.12,1.39,1.4319042263034603-8.673205396411292E-4i,1.431904226,0.000867321,431.4863596,82.48002914,0.3
1.14,1.39,1.4309245739225136-6.28782919760547E-4i,1.430924574,0.000628783,307.3274462,67.48474186,0.3
1.16,1.39,1.4300270376363269-4.75164978725921E-4i,1.430027038,0.000475165,228.2400729,42.21037716,0.3
1.18,1.39,1.4291700651810315-3.757960708065674E-4i,1.429170065,0.000375796,177.4498719,2.737090263,0.3
1.2,1.39,1.4283364519750963-3.092853557286554E-4i,1.428336452,0.000309285,143.6096334,-54.20548448,0.3
1.22,1.39,1.4275177627349365-2.6317731957893554E-4i,1.427517763,0.000263177,120.1971281,-128.5638261,0.3
1.24,1.39,1.4267091525126827-2.3022681746432056E-4i,1.426709153,0.000230227,103.4521897,-214.5874905,0.3
1.26,1.39,1.4259075538833021-2.0608604688375991E-4i,1.425907554,0.000206086,91.13464497,-302.5829553,0.3
1.28,1.39,1.425110910330187-1.8805104416568294E-4i,1.42511091,0.000188051,81.85990608,-384.0925235,0.3
1.3,1.39,1.4243177923542834-1.7438170118621378E-4i,1.424317792,0.000174382,74.74170837,-454.6695203,0.3
1.32,1.39,1.423527181363922-1.6392263112924042E-4i,1.423527181,0.000163923,69.1943203,-513.1275915,0.3
1.34,1.39,1.4227383385052228-1.5588478612036524E-4i,1.422738339,0.000155885,64.81930878,-467.6618845,0.3
1.36,1.39,1.4219507209832325-1.497155480101673E-4i,1.421950721,0.000149716,61.33854337,-408.3100262,0.3
1.38,1.39,1.4211639267477283-1.450190644271118E-4i,1.421163927,0.000145019,58.55331329,-362.6595141,0.3
1.4,1.39,1.4203776569102795-1.4150600205558775E-4i,1.420377657,0.000141506,56.31865674,-326.4501657,0.3
0.6,1.4,1.4519343517814984-1.3521659287242782E-6i,1.451934352,1.35E-06,1.255695103,,0.3
0.62,1.4,1.450912646612888-1.321118859048586E-6i,1.450912647,1.32E-06,1.18728687,,0.3
0.64,1.4,1.4499318103922665-1.745541521323665E-6i,1.44993181,1.75E-06,1.519692333,,0.3
0.66,1.4,1.4489849774368655-2.955633779700839E-6i,1.448984977,2.96E-06,2.495238992,,0.3
0.68,1.4,1.4480653623549777-7.28969463502697E-6i,1.448065362,7.29E-06,5.9731839,,0.3
0.7,1.4,1.4471759525430585-2.85568670344571E-5i,1.447175953,2.86E-05,22.73097068,,0.3
0.72,1.4,1.446337668749439-1.9333705354026244E-5i,1.446337669,1.93E-05,14.96194527,,0.3
0.74,1.4,1.4454828886042672-7.398893872639697E-6i,1.445482889,7.40E-06,5.571094698,,0.3
0.76,1.4,1.4446437379157486-4.773863600996747E-6i,1.444643738,4.77E-06,3.499950292,,0.3
0.78,1.4,1.443818396609137-4.106037735680414E-6i,1.443818397,4.11E-06,2.933146778,,0.3
0.8,1.4,1.4430038807232897-4.1097963024062535E-6i,1.443003881,4.11E-06,2.862435916,,0.3
0.82,1.4,1.4421978986648298-4.474895785594228E-6i,1.442197899,4.47E-06,3.040706732,,0.3
0.84,1.4,1.4413985604329176-5.1208567690849275E-6i,1.44139856,5.12E-06,3.396790836,,0.3
0.86,1.4,1.4406042294868489-6.04708707162613E-6i,1.440604229,6.05E-06,3.917898974,,0.3
0.88,1.4,1.4398134430850686-7.294575786276567E-6i,1.439813443,7.29E-06,4.618732721,,0.3
0.9,1.4,1.4390248586782837-8.937048460699505E-6i,1.439024859,8.94E-06,5.53295408,,0.3
0.92,1.4,1.4382372104729948-1.1083107011934772E-5i,1.43823721,1.11E-05,6.712420602,,0.3
0.94,1.4,1.4374492692088696-1.3884793494008697E-5i,1.437449269,1.39E-05,8.230325924,,0.3
0.96,1.4,1.436659801160826-1.755210554370109E-5i,1.436659801,1.76E-05,10.18740217,,0.3
0.98,1.4,1.4358675232743188-2.237476489730861E-5i,1.435867523,2.24E-05,12.72148668,,0.3
1,1.4,1.4350710514021379-2.87537962664947E-5i,1.435071051,2.88E-05,16.02140702,,0.3
1.02,1.4,1.4342688382414768-3.7246694094204484E-5i,1.434268838,3.72E-05,20.34665507,,0.3
1.04,1.4,1.4334590968837295-4.863111669733467E-5i,1.433459097,4.86E-05,26.0547173,,0.3
1.06,1.4,1.4326397047938326-6.399255780243154E-5i,1.432639705,6.40E-05,33.63791483,,0.3
1.08,1.4,1.4318080810588762-8.483951762229775E-5i,1.431808081,8.48E-05,43.77033772,,0.3
1.1,1.4,1.430961025562588-1.1324087509026835E-4i,1.430961026,0.000113241,57.36090492,,0.3
1.12,1.4,1.4300944997376084-1.5195430579393912E-4i,1.4300945,0.000151954,75.59628447,,0.3
1.14,1.4,1.4292033133910351-2.0445038946905237E-4i,1.429203313,0.00020445,99.92831246,,0.3
1.16,1.4,1.4282806800097654-2.7459604909222177E-4i,1.42828068,0.000274596,131.8990773,,0.3
1.18,1.4,1.427317729422849-3.6551019314214105E-4i,1.427317729,0.00036551,172.5929087,,0.3
1.2,1.4,1.4263036766046828-4.769349812134572E-4i,1.426303677,0.000476935,221.453931,,0.3
1.22,1.4,1.4252286388602833-6.015281509833739E-4i,1.425228639,0.000601528,274.7271549,,0.3
1.24,1.4,1.4240903929029434-7.242647675646313E-4i,1.424090393,0.000724265,325.4476474,,0.3
1.26,1.4,1.422899200520128-8.296672979969873E-4i,1.422899201,0.000829667,366.892547,,0.3
1.28,1.4,1.4216728903070328-9.10341045112708E-4i,1.42167289,0.000910341,396.277685,,0.3
1.3,1.4,1.4204281045544709-9.672421454291909E-4i,1.420428105,0.000967242,414.5694752,,0.3
1.32,1.4,1.4191765669448466-0.0010050548801564493i,1.419176567,0.001005055,424.2494695,,0.3
1.34,1.4,1.4238718618714674-8.848985145209371E-4i,1.423871862,0.000884899,367.9545098,,0.3
1.36,1.4,1.4230124313646793-7.61019141331126E-4i,1.423012431,0.000761019,311.7899659,,0.3
1.38,1.4,1.4221737415371039-6.709444988630712E-4i,1.422173742,0.000670944,270.9024748,,0.3
1.4,1.4,1.4213489881207566-6.034525802868542E-4i,1.421348988,0.000603453,240.171005,,0.3
0.6,1.31,1.4519316734563534-1.8320348490397264E-6i,1.451931673,1.83E-06,1.70E+00,11.45850601,0.4
0.62,1.31,1.4509094232009478-2.5947930425369876E-6i,1.450909423,2.59E-06,2.33E+00,-2.563633954,0.4
0.64,1.31,1.4499272905386937-3.718477602611476E-6i,1.449927291,3.72E-06,3.24E+00,14.19602575,0.4
0.66,1.31,1.4489780556013385-6.650448277199989E-6i,1.448978056,6.65E-06,5.61E+00,29.84784543,0.4
0.68,1.31,1.4480545576514687-1.5187655795435709E-5i,1.448054558,1.52E-05,1.24E+01,45.39470544,0.4
0.7,1.31,1.447156134249125-4.576516695669439E-5i,1.447156134,4.58E-05,3.64E+01,59.55788639,0.4
0.72,1.31,1.4463473668728446-8.283835225715066E-5i,1.446347367,8.28E-05,6.41E+01,35.36072331,0.4
0.74,1.31,1.445524731643089-3.729195260749806E-5i,1.445524732,3.73E-05,2.81E+01,-189.3952808,0.4
0.76,1.31,1.444684025014992-1.8525409574622068E-5i,1.444684025,1.85E-05,1.36E+01,-182.7668867,0.4
0.78,1.31,1.4438574844794987-1.1714119362322145E-5i,1.443857484,1.17E-05,8.37E+00,-120.5304081,0.4
0.8,1.31,1.4430438573912785-8.676147942999183E-6i,1.443043857,8.68E-06,6.04E+00,-85.28659815,0.4
0.82,1.31,1.4422404878521538-7.1278286134282185E-6i,1.442240488,7.13E-06,4.84E+00,-64.27659233,0.4
0.84,1.31,1.441445272316974-6.288775704116688E-6i,1.441445272,6.29E-06,4.17E+00,-50.45953606,0.4
0.86,1.31,1.4406565482632991-5.839462040007486E-6i,1.440656548,5.84E-06,3.78E+00,-40.6630543,0.4
0.88,1.31,1.439872957997933-5.630602893455049E-6i,1.439872958,5.63E-06,3.57E+00,-33.33229837,0.4
0.9,1.31,1.4390933663221799-5.585553384814193E-6i,1.439093366,5.59E-06,3.46E+00,-27.62853074,0.4
0.92,1.31,1.4383168100066028-5.6623050223924445E-6i,1.43831681,5.66E-06,3.43E+00,-23.06038494,0.4
0.94,1.31,1.437542464252856-5.8368830906116936E-6i,1.437542464,5.84E-06,3.46E+00,-19.3197625,0.4
0.96,1.31,1.436769618707893-6.095401850451364E-6i,1.436769619,6.10E-06,3.54E+00,-16.20251423,0.4
0.98,1.31,1.4359976592868984-6.429972456238404E-6i,1.435997659,6.43E-06,3.66E+00,-13.56720531,0.4
1,1.31,1.4352260538097095-6.836463451178659E-6i,1.435226054,6.84E-06,3.81E+00,-11.31227325,0.4
1.02,1.31,1.4344543403110581-7.31321100180115E-6i,1.43445434,7.31E-06,3.99E+00,-9.362651468,0.4
1.04,1.31,1.433682117326994-7.860242876856387E-6i,1.433682117,7.86E-06,4.21E+00,-7.66154501,0.4
1.06,1.31,1.4329090357023924-8.47879325097096E-6i,1.432909036,8.48E-06,4.46E+00,-6.165154277,0.4
1.08,1.31,1.4321347916058023-9.170988645576135E-6i,1.432134792,9.17E-06,4.73E+00,-4.83916291,0.4
1.1,1.31,1.4313591205251766-9.93963796218502E-6i,1.431359121,9.94E-06,5.03E+00,-3.656324664,0.4
1.12,1.31,1.4305817920748138-1.078808762909864E-5i,1.430581792,1.08E-05,5.37E+00,-2.594759836,0.4
1.14,1.31,1.4298026054826278-1.1720118442921933E-5i,1.429802605,1.17E-05,5.73E+00,-1.63672455,0.4
1.16,1.31,1.429021385654359-1.2739869614101758E-5i,1.429021386,1.27E-05,6.12E+00,-0.767704,0.4
1.18,1.31,1.4282379797316067-1.3851780808598438E-5i,1.42823798,1.39E-05,6.54E+00,0.024266925,0.4
1.2,1.31,1.427452254075789-1.5060546191295786E-5i,1.427452254,1.51E-05,6.99E+00,0.749120063,0.4
1.22,1.31,1.4266640916219724-1.637107648241422E-5i,1.426664092,1.64E-05,7.48E+00,1.415151479,0.4
1.24,1.31,1.425873389555776-1.7788466317086978E-5i,1.42587339,1.78E-05,7.99E+00,2.029330822,0.4
1.26,1.31,1.4250800572739457-1.931796503404749E-5i,1.425080057,1.93E-05,8.54E+00,2.597544418,0.4
1.28,1.31,1.4242840145951863-2.096494957755595E-5i,1.424284015,2.10E-05,9.13E+00,3.124787995,0.4
1.3,1.31,1.4234851901926937-2.2734898574292586E-5i,1.42348519,2.27E-05,9.74E+00,3.615320681,0.4
1.32,1.31,1.422683520223839-2.463336691380444E-5i,1.42268352,2.46E-05,1.04E+01,4.072788959,0.4
1.34,1.31,1.421878947135744-2.6665960349615748E-5i,1.421878947,2.67E-05,1.11E+01,4.500327116,0.4
1.36,1.31,1.4210714186282545-2.8838309778044895E-5i,1.421071419,2.88E-05,1.18E+01,4.900639166,0.4
1.38,1.31,1.4202608867581-3.115604495797492E-5i,1.420260887,3.12E-05,1.26E+01,5.276066059,0.4
1.4,1.31,1.419447307169957-3.362476751803898E-5i,1.419447307,3.36E-05,1.34E+01,5.62864114,0.4
0.6,1.32,1.4519318921253215-1.6221110257464916E-6i,1.451931892,1.62E-06,1.51E+00,11.6161177,0.4
0.62,1.32,1.45090986705118-2.6613140380119035E-6i,1.450909867,2.66E-06,2.39E+00,9.031530866,0.4
0.64,1.32,1.4499288605738099-3.190601564666374E-6i,1.449928861,3.19E-06,2.78E+00,-10.97727175,0.4
0.66,1.32,1.4489810321690855-4.665432755179662E-6i,1.448981032,4.67E-06,3.94E+00,18.92770444,0.4
0.68,1.32,1.448060344815848-8.293264184604565E-6i,1.448060345,8.29E-06,6.80E+00,32.99557973,0.4
0.7,1.32,1.4471600411200414-1.8508400813277794E-5i,1.447160041,1.85E-05,1.47E+01,48.83663135,0.4
0.72,1.32,1.4462797415643047-5.35461117219591E-5i,1.446279742,5.35E-05,4.14E+01,63.36350408,0.4
0.74,1.32,1.4454947572034194-1.0792115097511179E-4i,1.445494757,1.08E-04,8.13E+01,52.14096623,0.4
0.76,1.32,1.4447044030277563-5.238372390878418E-5i,1.444704403,5.24E-05,3.84E+01,-156.4036659,0.4
0.78,1.32,1.4438759031394082-2.5833195229916707E-5i,1.443875903,2.58E-05,1.85E+01,-243.0160232,0.4
0.8,1.32,1.4430584664077617-1.607573937441357E-5i,1.443058466,1.61E-05,1.12E+01,-161.3561276,0.4
0.82,1.32,1.4422526618891949-1.1709353953587383E-5i,1.442252662,1.17E-05,7.96E+00,-112.1502295,0.4
0.84,1.32,1.4414559748214608-9.462062748539361E-6i,1.441455975,9.46E-06,6.28E+00,-83.58968131,0.4
0.86,1.32,1.440666369155799-8.213965659912096E-6i,1.440666369,8.21E-06,5.32E+00,-65.35149353,0.4
0.88,1.32,1.4398822731457073-7.507412249832168E-6i,1.439882273,7.51E-06,4.75E+00,0.634059629,0.4
0.9,1.32,1.4391024313082388-7.128759718686478E-6i,1.439102431,7.13E-06,4.41E+00,-6.804974481,0.4
0.92,1.32,1.4383258107463663-6.9680543572129675E-6i,1.438325811,6.97E-06,4.22E+00,-14.64860909,0.4
0.94,1.32,1.4375515449821905-6.964555041226286E-6i,1.437551545,6.96E-06,4.13E+00,-22.53497297,0.4
0.96,1.32,1.4367788981504386-7.083010202688404E-6i,1.436778898,7.08E-06,4.11E+00,-26.06504572,0.4
0.98,1.32,1.4360072404281712-7.302340020787961E-6i,1.43600724,7.30E-06,4.15E+00,-22.25379506,0.4
1,1.32,1.4352360300663598-7.60982287735932E-6i,1.43523603,7.61E-06,4.24E+00,-19.04437636,0.4
1.02,1.32,1.4344647995835262-7.99792145902647E-6i,1.4344648,8.00E-06,4.37E+00,-16.3068061,0.4
1.04,1.32,1.4336931447622618-8.46245892278927E-6i,1.433693145,8.46E-06,4.53E+00,-13.94625174,0.4
1.06,1.32,1.432920715643709-9.001523935712543E-6i,1.432920716,9.00E-06,4.73E+00,-11.89168637,0.4
