w,na ,neff,re(neff),imag(neff),loss,SA(1/RIU),rg(um)
1.04,1.31,1.4337013386532618-7.959428038233228E-6i,1.433701339,7.96E-06,4.264361206,-9.083559257,0.3
1.06,1.31,1.4329299940960252-8.567998403927952E-6i,1.432929994,8.57E-06,4.50379873,-7.460396309,0.3
1.08,1.31,1.4321576202351722-9.247494134651379E-6i,1.43215762,9.25E-06,4.770959957,-6.013856891,0.3
1.1,1.31,1.431383961340892-1.0000308152530793E-5i,1.431383961,1.00E-05,5.065544792,-4.716671727,0.3
1.12,1.31,1.4306087962581058-1.08292989209156E-5i,1.430608796,1.08E-05,5.387506182,-3.546844009,0.3
1.14,1.31,1.4298319339198113-1.1737688251328817E-5i,1.429831934,1.17E-05,5.736977964,-2.486446372,0.3
1.16,1.31,1.4290532094328778-1.2728984718411868E-5i,1.429053209,1.27E-05,6.114222492,-1.520735982,0.3
1.18,1.31,1.428272480653982-1.3806924226753318E-5i,1.428272481,1.38E-05,6.519591676,-0.637491934,0.3
1.2,1.31,1.4274896251882283-1.497542221820388E-5i,1.427489625,1.50E-05,6.953497329,0.173488618,0.3
1.22,1.31,1.4267045377545404-1.6238533860095602E-5i,1.426704538,1.62E-05,7.416388076,1.012858612,0.3
1.24,1.31,1.425917127871036-1.760041974162929E-5i,1.425917128,1.76E-05,7.90873097,1.611624831,0.3
1.26,1.31,1.425127317820873-1.9065315386663547E-5i,1.425127318,1.91E-05,8.430996544,2.252184763,0.3
1.28,1.31,1.4243350408649877-2.0637503411551193E-5i,1.424335041,2.06E-05,8.983646427,2.847718204,0.3
1.3,1.31,1.4235402396729637-2.2321287513733408E-5i,1.42354024,2.23E-05,9.567122871,3.4027386,0.3
1.32,1.31,1.4227428649472418-2.4120967723730762E-5i,1.422742865,2.41E-05,10.18183978,3.921136245,0.3
1.34,1.31,1.4219428742191957-2.6040816527654557E-5i,1.421942874,2.60E-05,10.82817489,4.406278375,0.3
1.36,1.31,1.4211402307983165-2.8085055597026738E-5i,1.421140231,2.81E-05,11.50646291,4.861091141,0.3
1.38,1.31,1.420334902858094-3.0257832952682192E-5i,1.420334903,3.03E-05,12.2169894,5.28812713,0.3
1.4,1.31,1.4195268626440827-3.256320046349714E-5i,1.419526863,3.26E-05,12.95998532,5.689621295,0.3
0.6,1.32,1.4519321096609108-3.143026778066292E-6i,1.45193211,3.14E-06,2.91878626,16.77356456,0.3
0.62,1.32,1.4509118138609463-3.84703442959838E-6i,1.450911814,3.85E-06,3.45732213,-30.69897119,0.3
0.64,1.32,1.4499301672070897-3.738533575343495E-6i,1.449930167,3.74E-06,3.254818485,-0.326153486,0.3
0.66,1.32,1.4489816081200186-5.5594783170101634E-6i,1.448981608,5.56E-06,4.693486442,26.26084744,0.3
0.68,1.32,1.448060102850862-1.0603491075538071E-5i,1.448060103,1.06E-05,8.688512393,41.20316069,0.3
0.7,1.32,1.4471589056441763-2.37395282410566E-5i,1.447158906,2.37E-05,18.89641885,50.90037633,0.3
0.72,1.32,1.4462824090637652-6.954936527978428E-5i,1.446282409,6.95E-05,53.82278138,65.38755249,0.3
0.74,1.32,1.4455192099650842-1.0599551797581853E-4i,1.44551921,0.000105996,79.81072284,41.04460648,0.3
0.76,1.32,1.4447116323925826-4.765101776574004E-5i,1.444711632,4.77E-05,34.93526575,-219.2127294,0.3
0.78,1.32,1.443882350849941-2.467695494753652E-5i,1.443882351,2.47E-05,17.62797508,-258.2623776,0.3
0.8,1.32,1.4430657055351712-1.5899276575186196E-5i,1.443065706,1.59E-05,11.07370219,-168.6933463,0.3
0.82,1.32,1.4422607239228382-1.1831687295345894E-5i,1.442260724,1.18E-05,8.039671299,-117.9211452,0.3
0.84,1.32,1.4414648578651186-9.687430222470925E-6i,1.441464858,9.69E-06,6.425911851,-88.56496465,0.3
0.86,1.32,1.4406761075617807-8.476259972862524E-6i,1.440676108,8.48E-06,5.491756586,-69.79088107,0.3
0.88,1.32,1.4398929250819101-7.781479030290644E-6i,1.439892925,7.78E-06,4.927026995,-56.76410121,0.3
0.9,1.32,1.4391140694107418-7.404188117536441E-6i,1.439114069,7.40E-06,4.583955546,-47.16466453,0.3
0.92,1.32,1.4383385175804184-7.2402195863731666E-6i,1.438338518,7.24E-06,4.384997732,-39.77018814,0.3
0.94,1.32,1.4375654110252813-7.231187330979102E-6i,1.437565411,7.23E-06,4.286345964,-33.88187405,0.3
0.96,1.32,1.4367940209859706-7.342755856206016E-6i,1.436794021,7.34E-06,4.26180248,-29.07225992,0.3
0.98,1.32,1.4360237245270273-7.554109360377649E-6i,1.436023725,7.55E-06,4.294994921,-25.06480242,0.3
1,1.32,1.435253986864606-7.852471371033212E-6i,1.435253987,7.85E-06,4.375340173,-21.67208115,0.3
1.02,1.32,1.4344843477164-8.230079085736933E-6i,1.434484348,8.23E-06,4.495823978,-18.76206268,0.3
1.04,1.32,1.4337144103852768-8.682427400570353E-6i,1.43371441,8.68E-06,4.651716983,-16.23867807,0.3
1.06,1.32,1.4329438328055013-9.20720504064792E-6i,1.432943833,9.21E-06,4.839799964,-14.03011253,0.3
1.08,1.32,1.4321723200622698-9.803625197894019E-6i,1.43217232,9.80E-06,5.057878661,-12.08145254,0.3
1.1,1.32,1.4313996180570776-1.0471989859764077E-5i,1.431399618,1.05E-05,5.304469911,-10.34990032,0.3
1.12,1.32,1.4306255080891745-1.1213397260896258E-5i,1.430625508,1.12E-05,5.578592622,-8.801558298,0.3
1.14,1.32,1.4298498021854142-1.2029539574965166E-5i,1.429849802,1.20E-05,5.879624844,-7.4092065,0.3
1.16,1.32,1.429072339051914-1.2922558969224325E-5i,1.429072339,1.29E-05,6.207203673,-6.150727207,0.3
1.18,1.32,1.428292980549391-1.3894942255009936E-5i,1.428292981,1.39E-05,6.561153547,-5.007963273,0.3
1.2,1.32,1.4275116086143407-1.4949441565227532E-5i,1.427511609,1.49E-05,6.941433803,-3.965874352,0.3
1.22,1.32,1.378453849659342-1.6074060471376735E-5i,1.37845385,1.61E-05,7.341270551,-3.107726157,0.3
1.24,1.32,1.425942436728174-1.7316767006708114E-5i,1.425942437,1.73E-05,7.781271897,-2.135487344,0.3
1.26,1.32,1.4251544783814867-1.863592925856745E-5i,1.425154478,1.86E-05,8.241114925,-1.327691966,0.3
1.28,1.32,1.424364185913007-2.004980547006374E-5i,1.424364186,2.00E-05,8.727817492,-0.580908524,0.3
1.3,1.32,1.4235715072300874-2.156175244745646E-5i,1.423571507,2.16E-05,9.241578688,0.111373764,0.3
